observer_name,records
obsr816937,115143
obsr1365122,109311
obsr769757,51304
obsr841406,50971
obsr1936346,29867
obsr684727,28468
obsr2781802,25040
obsr770061,24850
obsr2732854,24175
obsr2169038,23688
obsr2013843,19282
obsr1438813,17860
obsr1441390,16105
obsr1071114,15750
obsr4201160,13386
obsr4822749,12404
obsr1580780,12338
obsr954867,11212
obsr1288952,10496
obsr1196810,10483
obsr1583594,10244
obsr4704744,8684
obsr2981223,8434
obsr3599747,7824
obsr2891281,7643
obsr488617,7337
obsr1372967,6833
obsr1943813,6169
obsr396794,5558
obsr773262,5522
obsr359132,5512
obsr2919913,5050
obsr557259,4977
obsr280052,4971
obsr585885,4802
obsr785230,4776
obsr550982,4763
obsr2396065,4338
obsr692503,4250
obsr4340658,4236
obsr456190,4132
obsr790216,4085
obsr1424381,4026
obsr3688148,3932
obsr391659,3839
obsr575705,3659
obsr1236230,3365
obsr2766592,3354
obsr369075,3292
obsr1449320,3266
obsr1012585,2911
obsr850143,2886
obsr3420376,2874
obsr835571,2858
obsr358384,2821
obsr453328,2658
obsr560276,2602
obsr778499,2589
obsr535437,2571
obsr559987,2424
obsr492437,2423
obsr468462,2412
obsr913537,2370
obsr3462587,2360
obsr1864934,2343
obsr871021,2313
obsr1194817,2276
obsr728982,2274
obsr236487,2262
obsr447035,2240
obsr447642,2207
obsr506900,2170
obsr1000287,2110
obsr667690,2085
obsr2882721,2083
obsr1206687,2075
obsr1582841,2028
obsr2864886,2026
obsr2861213,2020
obsr1475278,1971
obsr594547,1966
obsr493606,1965
obsr668114,1938
obsr947617,1936
obsr1344417,1902
obsr556030,1894
obsr481029,1886
obsr157927,1884
obsr447044,1851
obsr2939208,1850
obsr464023,1847
obsr1531870,1845
obsr651027,1844
obsr216063,1836
obsr823368,1831
obsr2925735,1802
obsr2830367,1780
obsr1001603,1775
obsr382645,1767
obsr2061595,1762
obsr1600071,1761
obsr613484,1743
obsr501131,1732
obsr439042,1727
obsr393275,1717
obsr812427,1713
obsr2948022,1685
obsr1942754,1672
obsr751759,1662
obsr361037,1660
obsr369308,1636
obsr359301,1633
obsr556980,1617
obsr672663,1615
obsr774353,1607
obsr604291,1603
obsr2601562,1594
obsr1405483,1588
obsr3068939,1586
obsr939039,1586
obsr360588,1584
