species_name,month,records
Accipiter butleri,1.0,2
Accipiter butleri,2.0,1
Accipiter butleri,9.0,1
Accipiter butleri,10.0,3
Accipiter butleri,12.0,1
Accipiter gularis,1.0,3
Accipiter gularis,3.0,1
Accipiter gularis,4.0,2
Accipiter gularis,10.0,1
Accipiter gularis,11.0,2
Accipiter gularis,12.0,10
Accipiter soloensis,1.0,9
Accipiter soloensis,2.0,3
Accipiter soloensis,3.0,13
Accipiter soloensis,4.0,4
Accipiter soloensis,10.0,5
Accipiter soloensis,11.0,3
Accipiter soloensis,12.0,16
Accipiter virgatus,3.0,3
Accipiter virgatus,8.0,3
Accipiter virgatus,9.0,1
Accipiter virgatus,10.0,1
Accipiter virgatus,11.0,2
Accipiter virgatus,12.0,2
Acridotheres tristis,1.0,762
Acridotheres tristis,2.0,1075
Acridotheres tristis,3.0,597
Acridotheres tristis,4.0,445
Acridotheres tristis,5.0,346
Acridotheres tristis,6.0,271
Acridotheres tristis,7.0,293
Acridotheres tristis,8.0,304
Acridotheres tristis,9.0,403
Acridotheres tristis,10.0,615
Acridotheres tristis,11.0,777
Acridotheres tristis,12.0,1055
Acrocephalus bistrigiceps,1.0,55
Acrocephalus bistrigiceps,2.0,91
Acrocephalus bistrigiceps,3.0,88
Acrocephalus bistrigiceps,4.0,25
Acrocephalus bistrigiceps,5.0,4
Acrocephalus bistrigiceps,10.0,2
Acrocephalus bistrigiceps,11.0,4
Acrocephalus bistrigiceps,12.0,44
Acrocephalus orientalis,1.0,154
Acrocephalus orientalis,2.0,117
Acrocephalus orientalis,3.0,85
Acrocephalus orientalis,4.0,58
Acrocephalus orientalis,10.0,16
Acrocephalus orientalis,11.0,44
Acrocephalus orientalis,12.0,106
Acrocephalus stentoreus,1.0,109
Acrocephalus stentoreus,2.0,130
Acrocephalus stentoreus,3.0,98
Acrocephalus stentoreus,4.0,43
Acrocephalus stentoreus,5.0,9
Acrocephalus stentoreus,10.0,11
