original_name,cleaned_name,modified_flag
Ducula aenea,Ducula aenea,False
Dicaeum virescens,Dicaeum virescens,False
Collocalia affinis,Collocalia affinis,False
Amaurornis phoenicurus,Amaurornis phoenicurus,False
Butorides striata,Butorides striata,False
Todiramphus chloris,Todiramphus chloris,False
Psittacula alexandri,Psittacula alexandri,False
Lanius cristatus,Lanius cristatus,False
Copsychus saularis,Copsychus saularis,False
Psittacula longicauda,Psittacula longicauda,False
Eurystomus orientalis,Eurystomus orientalis,False
Sterna sumatrana,Sterna sumatrana,False
Tringa totanus,Tringa totanus,False
Passer domesticus,Passer domesticus,False
Alcedo meninting,Alcedo meninting,False
Gallinula chloropus,Gallinula chloropus,False
Phylloscopus inornatus,Phylloscopus inornatus,False
Loriculus vernalis,Loriculus vernalis,False
Centropus andamanensis,Centropus andamanensis,False
Pycnonotus jocosus,Pycnonotus jocosus,False
Pericrocotus speciosus,Pericrocotus speciosus,False
Numenius arquata,Numenius arquata,False
Aplonis panayensis,Aplonis panayensis,False
Muscicapa latirostris,Muscicapa latirostris,False
Macropygia rufipennis,Macropygia rufipennis,False
Psittacula eupatria,Psittacula eupatria,False
Acridotheres tristis,Acridotheres tristis,False
Hypothymis azurea,Hypothymis azurea,False
Egretta intermedia,Egretta intermedia,False
Halcyon smyrnensis,Halcyon smyrnensis,False
Cinnyris jugularis,Cinnyris jugularis,False
Ixobrychus sinensis,Ixobrychus sinensis,False
Streptopelia tranquebarica,Streptopelia tranquebarica,False
Ardea alba,Ardea alba,False
Pericrocotus cinnamomeus,Pericrocotus cinnamomeus,False
Irena puella,Irena puella,False
Dicrurus paradiseus,Dicrurus paradiseus,False
Sturnia erythropygia,Sturnia erythropygia,False
Spilornis elgini,Spilornis elgini,False
Ixobrychus cinnamomeus,Ixobrychus cinnamomeus,False
Oriolus chinensis,Oriolus chinensis,False
Rhyticeros narcondami,Rhyticeros narcondami,False
Pycnonotus fuscoflavescens,Pycnonotus fuscoflavescens,False
Nettapus coromandelianus,Nettapus coromandelianus,False
Charadrius mongolus,Charadrius mongolus,False
Actitis hypoleucos,Actitis hypoleucos,False
Treron chloropterus,Treron chloropterus,False
Zosterops palpebrosus,Zosterops palpebrosus,False
Pelargopsis capensis,Pelargopsis capensis,False
Eudynamys scolopaceus,Eudynamys scolopaceus,False
Columba palumboides,Columba palumboides,False
Tyto deroepstorffi,Tyto deroepstorffi,False
Dicrurus andamanensis,Dicrurus andamanensis,False
Charadrius dubius,Charadrius dubius,False
Gallicrex cinerea,Gallicrex cinerea,False
Otus balli,Otus balli,False
Dendronanthus indicus,Dendronanthus indicus,False
Copsychus albiventris,Copsychus albiventris,False
Egretta sacra,Egretta sacra,False
Psittacula caniceps,Psittacula caniceps,False
Numenius phaeopus,Numenius phaeopus,False
Motacilla cinerea,Motacilla cinerea,False
Dendrocygna javanica,Dendrocygna javanica,False
Glareola maldivarum,Glareola maldivarum,False
Cecropis daurica,Cecropis daurica,False
Pachycephala cinerea,Pachycephala cinerea,False
Pluvialis fulva,Pluvialis fulva,False
Anas gibberifrons,Anas gibberifrons,False
Merops leschenaulti,Merops leschenaulti,False
Corvus macrorhynchos,Corvus macrorhynchos,False
Alcedo atthis,Alcedo atthis,False
Acrocephalus orientalis,Acrocephalus orientalis,False
Artamus leucoryn,Artamus leucoryn,False
Egretta garzetta,Egretta garzetta,False
Dicrurus leucophaeus,Dicrurus leucophaeus,False
Anas penelope,Anas penelope,False
Hirundo tahitica,Hirundo tahitica,False
Hirundo rustica,Hirundo rustica,False
Motacilla tschutschensis,Motacilla tschutschensis,False
Aerodramus fuciphagus,Aerodramus fuciphagus,False
Lonchura striata,Lonchura striata,False
Ardea cinerea,Ardea cinerea,False
Haliaeetus leucogaster,Haliaeetus leucogaster,False
Columba livia,Columba livia,False
Tringa stagnatilis,Tringa stagnatilis,False
Calidris subminuta,Calidris subminuta,False
